,LanguageCode,SKU,Text,Title
33941,en,ZA522G003-909,"I've been looking for a light jacket for quite a while and just could not find exactly what I wanted until I found this one. Based on what I could see and trusting in Zalando's knowledge of quality products and styling, I decided to purchase this jacket and I couldn't have made a better choice. The quality of the the jacket far outweighs other similar products at twice the price. The fit for me was perfect. I just liked everything about it!!",A Jacket For All Seasons.
34064,en,B5411C00B-802,These boots are lovely for the style/ leather but the finish was really bad on the silver trim at the front - the glue was visible and the silver was actually peeling off to a red/ brass type colour on one boot.  I sent them back.  I was really disappointed as I love the style of the boot but for £110 they should have a quality finish which they did not. The fit is also slightly small but I presume in wearing the leather would give a bit - just a shame I won't be wearing them in at all now :(,Lovely boots bad finish
34226,en,ZA511C01G-558,"Fabulous boots, great design and look neat on the foot dispite the wedge. Comfortable and trendy.",Wedge boots
34290,en,JA222I028-603,"Great jumper, good fit, good quality",Great Jumper
34291,en,JA222I028-504,"Great jumper, good fit, quality and value",Great Jumper
34321,en,M3941B01K-102,I love this top good fit and style,Comfortable top
34421,en,K2851F01E-104,"These earrings are a fabulously large pair of statement earrings. I certainly won't be able to say to my husband, ""What these old things, I've had them for ages!!!"" They are real head turners, super quality and design. I love the open metal work and the different sized diamante. Shopping with Zalando is such a pleasure. There is such a large choice of everything and the website is so easy to navigate and is so user friendly, I do regularly recommend my friends go online and see for themselves.",Fabulous Konplott Silver & Diamante Earrings
35317,en,ON321I045-111,"nice unusual cardigan,fits well ang feels cosy.",winter warmer
36112,en,AD111S07T-A11,These trainers are gorgeous and non-leather!!' They were initially too big because I'm a 4.5 and bought at 5 but the laces meant I could tighten them. I get so many compliments on these when I wear them. But I can't wear them if it's rainy because they're white as white!!,Amazing 
36923,en,SO422I01D-502,"Very happy.
Lots of variety on website. Ordering easy. Quick delivery. Great!",Happy customer...
37343,en,LX151A001-302,"Bag was much smaller, not a large tote, and the handles were stiff and uncomfortable fer smallish hands-leather was quite thick",Did not meet expectations
37533,en,FU224A003-302,Good quality and good service.,Red jeans
37626,en,TH342B0A1-603,I am very pleased with my new t shirt!,Mr
37737,en,PO252B015-G11,Great hat and lovely to wear..,Cheep and RL is 100% well made.
37803,en,OL422F05B-602,an excellent service offering customers choice outside the fixed and limited range of major stores,Luxury at Luxor
38050,en,AD111S0CF-Q11,"Great delivery service, fab trainers",Good product as expected 
38315,en,JA222L034-Q11,Good quality product ,Very happy with my purchase 
38492,en,TA441B026-002,"Having bought one of these shirts in the USA, I was delighted to see that they were available in the UK.  Regretably the US sizing of XL fitted well, but the UK equivalent was more like a S/M, and far too tight.  As I wanted to play golf in the shirt it was no good .",Adidas Polo Shirt
38555,en,TT321D005-002,If you want something goes through Zalando!,Good !!!!
39599,en,GS122A06Y-901,"I am very pleased
These jeans are an excellent design and fit me perfectly, 
They arrived very quick and well packed for transport",Pleased customer
39713,en,J1822A01J-602,"great product, feels good on, wonderful price",excelent
39879,en,GA322A00Q-404,Ordered 2 sizes to be sure I got the right size.  Kept the larger size & fit was fine. After only one wear the side seams started to fray and now both have fallen apart completely.  The fabric is quite fine and the construction was such that they side seams did not have enough fabric to allow for the fraying so the seams basically failed.  What a disappointment and otherwise the item is good.,Look ok but fell to bits on first wear
